kraj,dni,wariant,nazwa,cena_pln,ocena_booking,opinie_booking,status_prania,pralka_potwierdzona,pralka_tylko_opinia,usluga_prania,kuchnia,prywatna_lazienka,beachfront,sea_view,parking,plaza_booking,ocena_wyboru_1_10,link
Turcja,8,A — super: plaża / ocena / okolica,Lukka Exclusive Hotel – Adult Only +12,9501.00,,0,Pralnia potwierdzona w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Küçük Çakıl / Kaş (~4.6 km w linii prostej),6.7,https://www.booking.com/hotel/tr/lukka.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,11,A — super: plaża / ocena / okolica,Lukka Exclusive Hotel – Adult Only +12,13063.87,,0,Pralnia potwierdzona w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Küçük Çakıl / Kaş (~4.6 km w linii prostej),6.7,https://www.booking.com/hotel/tr/lukka.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,14,A — super: plaża / ocena / okolica,Lukka Exclusive Hotel – Adult Only +12,16626.75,,0,Pralnia potwierdzona w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Küçük Çakıl / Kaş (~4.6 km w linii prostej),6.7,https://www.booking.com/hotel/tr/lukka.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,8,A — super: plaża / ocena / okolica,Sundia Exclusive By Liberty Fethiye Adults Only,13414.22,9.1,797,Pralnia i usługa prasowania potwierdzone w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~0.7 km w linii prostej),9.2,https://www.booking.com/hotel/tr/sundia-by-liberty-fethiye.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,11,A — super: plaża / ocena / okolica,Sundia Exclusive By Liberty Fethiye Adults Only,17462.54,9.1,797,Pralnia i usługa prasowania potwierdzone w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~0.7 km w linii prostej),9.2,https://www.booking.com/hotel/tr/sundia-by-liberty-fethiye.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,14,A — super: plaża / ocena / okolica,Sundia Exclusive By Liberty Fethiye Adults Only,21457.41,9.1,797,Pralnia i usługa prasowania potwierdzone w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~0.7 km w linii prostej),9.2,https://www.booking.com/hotel/tr/sundia-by-liberty-fethiye.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,8,A — super: plaża / ocena / okolica,Hotel Uygar,3053.89,,0,Pralnia i usługa prasowania potwierdzone w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),7.7,https://www.booking.com/hotel/tr/uygar.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,11,A — super: plaża / ocena / okolica,Hotel Uygar,4199.10,,0,Pralnia i usługa prasowania potwierdzone w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),7.7,https://www.booking.com/hotel/tr/uygar.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-27&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,14,A — super: plaża / ocena / okolica,Hotel Uygar,5344.31,,0,Pralnia i usługa prasowania potwierdzone w udogodnieniach obiektu; pralka w pokoju niepotwierdzona,False,False,True,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),7.7,https://www.booking.com/hotel/tr/uygar.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-30&no_rooms=1&group_adults=2&selected_currency=PLN
Turcja,8,A — super: plaża / ocena / okolica,çileks apart otel,2691.24,8.5,159,Pralnia/pralka niepotwierdzona w udogodnieniach zwróconych przez Booking tool,False,False,False,False,True,True,False,True,Najbliższa referencyjna plaża: Çalış Beach / Fethiye (~1.2 km w linii prostej),9.5,https://www.booking.com/hotel/tr/cileks-apart-otel.html?aid=2438770&checkin=2026-09-16&checkout=2026-09-24&no_rooms=1&group_adults=2&selected_currency=PLN
